"Sky Blue Skin / Marion Castera / France / 2019 / 6'07""";
"Socrates' Adventures in the Under Ground / Aria Covamonas / Mexico / 2020 / 8'55""";Приключения Сократа под землей
"Sororal / Frederic Even, Louise Mercadier / France / 2019 / 14'56""";Сестринство
"Southpaw / Sawako Kabuki / Japan / 2019 / 1'53""";Левой рукой
"Spark of dust / Jackson Abacatu / Brazil / 2021 / 4'25""";Искра пыли
"Spirit Walk / Simon Finta / Hungary / 2019 / 4'05""";Духовный путь
"Stache and the Inner Walk / Joanne Fisher / Canada / 2020 / 3'30""";Ус и прогулка внутрь
"Step into the river / Ma Weijia / China / 2020 / 14'50""";Войти в реку
"Stop It / Lingxi Zhang, Tom Chegaray / France / 2021 / 2'44""";Прекрати это!
"Substereo - Over & Over / Chris Angel Walker / Germany / 2019 / 4'19""";
"Sueño / Maria Rakitina / Estonia / 2020 / 5'02""";Грезы
"Sugar Show / Liana Makaryan / Russia / 2021 / 8'00""";Сахарное шоу
"Sun’s Fever / Marie Deboissy / France / 2019 / 4'45""";Солнечная лихорадка
"Suspicious / Hwnagbo Hyunjung / South Korea / 2020 / 4'02""";
"Sutoloka / Mitya Kokorin / Russia / 2021 / 3'20""";
"Swing / Lyudmila Skotnikova / Russia / 2019 / 5'15""";Свинг
"Takoyaki Story / Sawako Kabuki / Japan / 2018 / 1'34""";
"Tales From The Multiverse / Magnus Igland Muller, Mette Tange, Peter Smith / Denmark / 2020 / 6'59""";Сказки из Мультивселенной
"Tamou / Tom Prezman, Tzor Edery / Israel / 2019 / 10'00""";Таму
"Tarana / Kat Navarro / United States / 2020 / 2'49""";
"Tell Me You Still Love Me / Rui Ting Ji / Canada / 2019 / 3'58""";Скажи мне, что ты все еще любишь меня
"Tenant / Sarah Benson / Ireland / 2020 / 5'39""";Жилец
"The 7 Kids / Marina Karpova / Russia / 2020 / 5'20""";7 козлят
"The Chimney Swift / Frederic Schuld / Germany / 2020 / 5'00""";Трубочист
"The Closing Door / Lucija Mrzljak / Estonia / 2019 / 4'30""";
"The Duck And The Kangaroo / Liza Skvortsova / Russia / 2020 / 7'11""";Уточка и кенгуру
"The Ducks / Ángela Arregui / Spain / 2021 / 6'45""";Утки
"The Edge / Zaide Kutay, Géraldine Cammisar / Switzerland / 2020 / 7'23""";Грань
"The End / Wiebe Bonnema / Netherlands / 2019 / 4'37""";Конец
"The Expected / Carolina Sandvik / Sweden / 2021 / 14'30""";Ожидаемый
"The Fence / Maria Kogan-Lerner / Russia / 2020 / 7'40""";За забором
"The First One / Asia Philippova / Russia / 2021 / 2'28""";Первая
